chapter,sentence
jeff101.pdf,"The postmaster — a fat, amiablepeso currency of several Latin American countriesconscience an inner sense of right and wrong amiable friendly and pleasant Reprint 2024-25 6First Flightfellow — also broke out laughing, but almost immediately he turned serious and, tapping the letter on his desk, commented, “What faith!"
jeff101.pdf,I wish I had the faith of the man who wr ote this letter .
jeff101.pdf,"Starting up a correspondence with God!” So, in order not to shake the writer’s faith in God, the postmaster came up with an idea: answer the letter."
jeff101.pdf,"But when he opened it, it was evident that to answer it he needed something more than goodwill, ink and paper ."
jeff101.pdf,"But he stuck to his r esolution: he asked for money from his employees, he himself gave part of his salary, and several friends of his were obliged to give something ‘for an act of charity’."
jeff101.pdf,"It was impossible for him to gather together the hundred pesos, so he was able to send the farmer only a little more than half."
jeff101.pdf,He put the money in an envelope addressed to Lencho and with it a letter containing only a single word as a signature: God.
jeff101.pdf,Oral Comprehension Check 1.Who or what did Lencho have faith in?
jeff101.pdf,What did he do?
jeff101.pdf,2.Who read the letter?
jeff101.pdf,3.What did the postmaster do then?
jeff101.pdf,The following Sunday Lencho came a bit earlier than usual to ask if there was a letter for him.
jeff101.pdf,"It was the postman himself who handed the letter to him while the postmaster , experiencing the contentment of a man who has performed a good deed, looked on from his office."
jeff101.pdf,Lencho showed not the slightest surprise on seeing the money; such was his confidence — but he became angry when he counted the money.
jeff101.pdf,"God could not have made a mistake, nor could he have denied Lencho what he had requested."
jeff101.pdf,"Immediately, Lencho went up to the window to ask for paper and ink."
jeff101.pdf,"On the public writing-table, he started to write, with much wrinkling of his brow, caused by the effort he had to make to express his ideas."
jeff101.pdf,"When he finished, he went to the window to buy a stamp which he licked and then affixed tocontentment satisfaction Reprint 2024-25 A Letter to God 7 1.Who does Lencho have complete faith in?"
jeff101.pdf,Which sentences in the story tell you this?
jeff101.pdf,2.Why does the postmaster send money to Lencho?
jeff101.pdf,Why does he sign the letter ‘God’?
jeff101.pdf,3.Did Lencho try to find out who had sent the money to him?
jeff101.pdf,Why/Why not?
jeff101.pdf,4.Who does Lencho think has taken the rest of the money?
jeff101.pdf,What is the irony in the situation?
jeff101.pdf,(Remember that the irony of a situation is an unexpected aspect of it.
jeff101.pdf,An ironic situation is strange or amusing because it is the opposite of what is expected.
jeff101.pdf,)the envelope with a blow of his fist.
jeff101.pdf,The moment the letter fell into the mailbox the postmaster went to open it.
jeff101.pdf,"It said: “God: Of the money that I asked for, only seventy pesos r eached me."
jeff101.pdf,"Send me the rest, since I need it very much."
jeff101.pdf,But don’t send it to me through the mail because the post office employees are a bunch of crooks.
jeff101.pdf,Lencho.” Oral Comprehension Check 1.Was Lencho surprised to find a letter for him with money in it?
jeff101.pdf,2.What made him angry?
jeff101.pdf,Reprint 2024-25 8First Flight5.Are there people like Lencho in the real world?
jeff101.pdf,What kind of a person would you say he is?
jeff101.pdf,Y ou may select appr opriate wor ds from the box to answer the question.
jeff101.pdf,"greedy naive stupid ungrateful selfish comical unquestioning 6.There are two kinds of conflict in the story: between humans and nature, and between humans themselves."
jeff101.pdf,How are these conflicts illustrated?
jeff101.pdf,I.Look at the following sentence from the story.
jeff101.pdf,Suddenly a strong wind began to blow and along with the rain very large hailstones began to fall.
jeff101.pdf,‘Hailstones’ are small balls of ice that fall like rain.
jeff101.pdf,A storm in which hailstones fall is a ‘hailstor m’.
jeff101.pdf,"Y ou know that a stor m is bad weather with strong winds, rain, thunder and lightning."
jeff101.pdf,"There are different names in different parts of the world for storms, depending on their nature."
jeff101.pdf,"Can you match the names in the box with their descriptions below, and fill in the blanks?"
jeff101.pdf,Y ou may use a dictionary to help you.
jeff101.pdf,"gale, whirlwind, cyclone, hurricane, tornado, typhoon 1.A violent tropical storm in which strong winds move in a circle: __ __ c __ __ __ __ 2.An extremely strong wind : __ a __ __ 3.A violent tropical storm with very strong winds : __ __ p __ __ __ __ 4.A violent storm whose centre is a cloud in the shape of a funnel: __ __ __ n __ __ __ 5.A violent storm with very strong winds, especially in the western Atlantic Ocean: __ __ r __ __ __ __ __ __ 6.A very strong wind that moves very fast in a spinning movement and causes a lot of damage: __ __ __ __ l __ __ __ __ II.Notice how the word ‘hope’ is used in these sentences from the story: (a)I hope it (the hailstorm) passes quickly."
jeff101.pdf,(b)There was a single hope: help from God.
jeff101.pdf,"In the first example, ‘hope’ is a verb which means you wish for something to happen."
jeff101.pdf,In the second example it is a noun meaning a chance for something to happen.
jeff101.pdf,Reprint 2024-25 A Letter to God 9III.Relative Clauses Look at these sentences (a)All morning Lencho — who knew his fields intimately — looked at the sky.
jeff101.pdf,"(b)The woman, who was pr eparing supper , replied, “Y es, God willing.’’ The italicised parts of the sentences give us more information about Lencho and the woman."
jeff101.pdf,W e call them relative clauses .
jeff101.pdf,Notice that they begin with a relative pronoun who.
jeff101.pdf,"Other common relative pronouns are whom , whose , and which ."
jeff101.pdf,"The relative clauses in (a) and (b) above are called non-defining , because we already know the identity of the person they describe."
jeff101.pdf,"Lencho is a particular person, and ther e is a particular woman he speaks to."
jeff101.pdf,W e don’t need the information in the relative clause to pick these people out from a larger set.
jeff101.pdf,"A non-defining relative clause usually has a comma in front of it and a comma after it (some writers use a dash (—) instead, as in the story)."
jeff101.pdf,"If the relative clause comes at the end, we just put a full stop."
jeff101.pdf,"Join the sentences given below using who, whom , whose , which , as suggested."
jeff101.pdf,1.I often go to Mumbai.
jeff101.pdf,Mumbai is the commercial capital of India.
jeff101.pdf,( which) 2.My mother is going to host a TV show on cooking.
jeff101.pdf,She cooks very well.
jeff101.pdf,( who)B –a feeling that something good will probably happen –thinking that this would happen (It may or may not have happened.)
jeff101.pdf,"–stopped believing that this good thing would happen –wanting something to happen (and thinking it quite possible) –showing concern that what you say should not offend or disturb the other person: a way of being polite –wishing for something to happen, although this is very unlikelyA 1.Will you get the subjects you want to study in college?"
jeff101.pdf,I hope so.
jeff101.pdf,"2.I hope you don’t mind my saying this, but I don’t like the way you are arguing."
jeff101.pdf,3.This discovery will give new hope to HIV/AIDS sufferers.
jeff101.pdf,4.We wer e hoping against hope that the judges would not notice our mistakes.
jeff101.pdf,5.I called early in the hope of speaking to her before she went to school.
jeff101.pdf,"6.Just when everybody had given up hope, the fishermen came back, seven days after the cyclone.Match the sentences in Column A with the meanings of ‘hope’ in Column B."
jeff101.pdf,Reprint 2024-25 10First Flight3.These sportspersons are going to meet the President.
jeff101.pdf,Their performance has been excellent.
jeff101.pdf,( whose ) 4.Lencho prayed to God.
jeff101.pdf,His eyes see into our minds.
jeff101.pdf,( whose ) 5.This man cheated me.
jeff101.pdf,I trusted him.
jeff101.pdf,( whom ) Sometimes the relative pronoun in a relative clause remains ‘hidden’.
jeff101.pdf,"For example, look at the first sentence of the story: (a)The house — the only one in the entire valley — sat on the crest of a low hill."
jeff101.pdf,We can r ewrite this sentence as: (b)The house — which was the only one in the entire valley — sat on the crest of a low hill.
jeff101.pdf,"In (a), the relative pronoun which and the verb was are not present."
jeff101.pdf,"IV.Using Negatives for Emphasis We know that sentences with wor ds such as no, not or nothing show the absence of something, or contradict something."
jeff101.pdf,For example: (a)This year we will have no corn.
jeff101.pdf,(Corn will be absent) (b)The hail has left nothing.
jeff101.pdf,"(Absence of a crop) (c)These aren’t raindrops falling from the sky, they are new coins."
jeff101.pdf,(Contradicts the common idea of what the drops of water falling from the sky are) But sometims negative words are used just to emphasise an idea.
jeff101.pdf,Look at these sentences from the story: (d)Lencho…had done nothing else but see the sky towards the north- east.
jeff101.pdf,(He had done only this) (e)The man went out for no other reason than to have the pleasure of feeling the rain on his body.
jeff101.pdf,(He had only this reason) (f)Lencho showed not the slightest surprise on seeing the money.
jeff101.pdf,(He showed no surprise at all) Now look back at example (c).
jeff101.pdf,Notice that the contradiction in fact serves to emphasise the value or usefulness of the rain to the far mer.
jeff101.pdf,"Find sentences in the story with negative words, which express the following ideas emphatically."
jeff101.pdf,1.The trees lost all their leaves.
jeff101.pdf,2.The letter was addressed to God himself.
jeff101.pdf,3.The postman saw this addr ess for the first time in his car eer.
jeff101.pdf,"Reprint 2024-25 A Letter to God 11 Have you ever been in great difficulty, and felt that only a miracle could help you?"
jeff101.pdf,How was your problem solved?
jeff101.pdf,Speak about this in class with your teacher .Object Metaphor Quality or Feature Compared Cloud Huge mountains The mass or ‘hugeness’ of clouds of mountains Raindrops Hailstones Locusts An epidemic (a disease) that spreads very rapidly and leaves many people dead An ox of a manV.Metaphors The word metaphor comes from a Greek word meaning ‘transfer’.
jeff101.pdf,Metaphors compare two things or ideas: a quality or feature of one thing is transferred to another thing.
jeff101.pdf,Some common metaphors are •the leg of the table: The leg supports our body.
jeff101.pdf,So the object that supports a table is described as a leg.
jeff101.pdf,•the heart of the city: The heart is an important organ in the centre of our body.
jeff101.pdf,So this word is used to describe the central area of a city.
jeff101.pdf,"In pairs, find metaphors from the story to complete the table below."
jeff101.pdf,Try to say what qualities are being compared.
jeff101.pdf,One has been done for you.
jeff101.pdf,Reprint 2024-25 12First Flight WHAT WE HAVE DONE •Introduced students to the story that they are going to read.
jeff101.pdf,•Related a thought-provoking story about the nature of belief.
jeff101.pdf,"•Helped students, through an interesting activity , to understand something that happens in the story — how to send money using a money order ."
jeff101.pdf,"•Guided them through the reading activity by providing periodic comprehension checks as they read, and checked for holistic understanding at the end of the reading activity ."
jeff101.pdf,"•Provided interesting exercises to strengthen students’ grasp of the specific vocabulary found in the story , and also introduced them to related vocabulary ."
jeff101.pdf,The writer apologises (says sorry) because The writer has sent this to the reader The writer sent it in the month of The reason for not writing earlier Sarah goes to Who is writing to whom?
jeff101.pdf,Where and when were they last together?Listen to the letter (given under ‘In This Lesson’) read out by your teacher/on the audio tape.
jeff101.pdf,As you listen fill in the table given below.
jeff101.pdf,Lencho suffered first due to drought and then by floods.
jeff101.pdf,Our country is also facing such situations in the recent years.
jeff101.pdf,There is flood and there is drought.
jeff101.pdf,There is a need to save water through water harvesting.
jeff101.pdf,Design a poster for your area on how to save water during summer and when it is available in excess.
jeff101.pdf,"Reprint 2024-25 A Letter to God 13 •Explained specific areas of grammar — non-defining relative clauses and the use of negatives for emphasis — providing illustrations from the text, and exercises for practice."
jeff101.pdf,"•Explained what metaphors are, and helped students identify metaphors in the text by providing clues."
jeff101.pdf,•Provided a context for authentic speaking.
jeff101.pdf,•Provided an interesting listening activity .
jeff101.pdf,"Given below is the passage for listening activity Bhatt House 256, Circuit Road Kanpur , Uttar P radesh, India 25 January 2006 Dear Arti, How are you?"
jeff101.pdf,I’m sorry I haven ’t written for a very long time.
jeff101.pdf,I think I last sent you a birthday card in the month of September 2005.
jeff101.pdf,We have just moved house (see our new address above).
jeff101.pdf,This is our new home.
jeff101.pdf,Sarah has just about started going to school.
jeff101.pdf,W e have admitted her to ‘Little Feet’ as this is very close to our new home.
jeff101.pdf,"I’m sitting here by the window sill, writing to you."
jeff101.pdf,There is a slight drizzle outside and I’m reminded of the good times we had together at Bangalore last year .
jeff101.pdf,Do write back.
jeff101.pdf,"Love, Jaya WHAT YOU CAN DO Before You Read: Encourage students to share their ideas about what will happen in the story."
jeff101.pdf,"Activit y: Before filling out the form, get the students to read through the form and decide which parts they should fill out, and which parts will be filled in by the postal department."
jeff101.pdf,Ask a few students to volunteer to actually send a money order (the amount need not be large) and share the experience with the rest of the class.
jeff101.pdf,"Reading : Break the text up into manageable chunks for reading (three paragraphs, for example), and encourage students to read silently , on their own."
jeff101.pdf,"Give them enough time to read, and then discuss what they have read before going on to the next portion."
jeff101.pdf,"Use the ‘Oral Comprehension Checks’ in the appropriate places, and use the ‘Thinking about the T ext’ questions at the end of the passage to help them go beyond the text."
jeff101.pdf,"Grammar : After they have done the exercise, ask students to make their own sentences with non-defining relative clauses — for example, ‘Meena, who’s a very clever girl, is always first in class.’ Or , ‘Our gardener , who knows a lot about plants, loves to talk about them.’ Speaking : Take the first turn — talk to the students about an instance from your own life, or from that of someone you know ."
jeff101.pdf,Reprint 2024-25 Dust of SnoDust of SnoDust of SnoDust of SnoDust of Sno www ww The way a crow Shook down on me The dust of snow From a hemlock tree Has given my heart A change of mood And saved some part Of a day I had rued.
jeff101.pdf,"ROBER T FROST hemlock : A poisonous plant (tree) with small white flowers rued: held in regret This poem presents a moment that seems simple, but has a larger significance."
jeff101.pdf,"[Compare this other quotation from Robert Frost: “Always, always a larger significance... A little thing touches a larger thing.”) 1.What is a “dust of snow”?"
jeff101.pdf,What does the poet say has changed his mood?
jeff101.pdf,How has the poet’s mood changed?
jeff101.pdf,2.How does Frost present nature in this poem?
jeff101.pdf,The following questions may help you to think of an answer .
jeff101.pdf,(i)What are the birds that are usually named in poems?
jeff101.pdf,Do you think a crow is often mentioned in poems?
jeff101.pdf,What images come to your mind when you think of a crow?
jeff101.pdf,"(ii)Again, what is “a hemlock tree”?"
jeff101.pdf,"Why doesn’t the poet write about a more ‘beautiful’ tree such as a maple, or an oak, or a pine?"
jeff101.pdf,(iii)What do the ‘crow’ and ‘hemlock’ represent — joy or sorrow?
jeff101.pdf,What does the dust of snow that the crow shakes off a hemlock tree stand for?
jeff101.pdf,3.Have there been times when you felt depressed or hopeless?
jeff101.pdf,Have you experienced a similar moment that changed your mood that day?
jeff101.pdf,Reprint 2024-25 Some say the world will end in fire Some say in ice.
jeff101.pdf,From what I’ve tasted of desire I hold with those who favour fire.
jeff101.pdf,"But if it had to perish twice, I think I know enough of hate To say that for destruction ice Is also great And would suffice."
jeff101.pdf,ROBER T FROSTFire and IceFire and IceFire and IceFire and IceFire and Ice perish : die suffice : be sufficient 1.There are many ideas about how the world will ‘end’.
jeff101.pdf,Do you think the world will end some day?
jeff101.pdf,"Have you ever thought what would happen if the sun got so hot that it ‘burst’, or grew colder and colder?"
jeff101.pdf,"2.For Frost, what do ‘fire’ and ‘ice’ stand for?"
jeff101.pdf,Here are some ideas: greed avarice cruelty lust conflict fury intolerance rigidity insensitivity coldness indifference hatred 3.What is the rhyme scheme of the poem?
jeff101.pdf,How does it help in bringing out the contrasting ideas in the poem?
jeff101.pdf,Reprint 2024-25
jeff102.pdf,BEFORE YOU READ •‘Apartheid’ is a political system that separates people according to their race.
jeff102.pdf,Can you say which of the three countries named below had such a political system until very recently?
jeff102.pdf,(i) United States of America (ii) South Africa (iii) Australia •Have you heard of Nelson Mandela?
jeff102.pdf,"Mandela, and his African National Congress, spent a lifetime fighting against apartheid."
jeff102.pdf,Mandela had to spend thirty years in prison.
jeff102.pdf,"Finally, democratic elections were held in South Africa in 1994, and Mandela became the first black President of a new nation."
jeff102.pdf,"In this extract fr om his autobiography, Long W alk to Fr eedom , Mandela speaks about a historic occasion, ‘the inauguration’."
jeff102.pdf,Can you guess what the occasion might be?
jeff102.pdf,Check your guess with this news item (from the BBC) of 10 May 1994.
jeff102.pdf,Mandela Becomes South Africa’s First Black President Nelson Mandela has become South Africa’s first Black President after more than three centuries of White rule.
jeff102.pdf,Mr Mandela’s African National Congress (ANC) party won 252 of the 400 seats in the first democratic elections of South Africa’s history.
jeff102.pdf,"The inauguration ceremony took place in the Union Buildings amphitheatre in Pretoria today, attended by politicians and dignitaries from more than 140 countries around the world."
jeff102.pdf,"“Never , never again will this beautiful land experience the oppr ession of one by another , ” said Nelson Mandela in his address."
jeff102.pdf,"… Jubilant scenes on the streets of Pretoria followed the ceremony with blacks, whites and coloureds celebrating together ... Mor e than 100,000 South African men, women and children of all races sang and danced with joy."
jeff102.pdf,"Reprint 2024-25 17 Nelson Mandela: Long W alk to Freedom(i)A rainbow gathering of different colours and nations (ii)The seat of white supremacy (iii)Be overwhelmed with a sense of history (iv)Resilience that defies the imagination (v)A glimmer of humanity (vi)A twilight existence–A great ability (almost unimaginable) to remain unchanged by suffering (not losing hope, goodness or courage) –A half-secret life, like a life lived in the fading light between sunset and darkness –A sign of human feeling (goodness, kindness, pity, justice, etc.)"
jeff102.pdf,"–A beautiful coming together of various peoples, like the colours in a rainbow –The centre of racial superiority –Feel deeply emotional, remembering and understanding all the past events that have led up to the moment TENTH May dawned bright and clear ."
jeff102.pdf,For the past few days I had been pleasantly besieged by dignitaries and world leaders who were coming to pay their respects before the inauguration.
jeff102.pdf,The inauguration would be the largest gathering ever of international leaders on South African soil.
jeff102.pdf,The ceremonies took place in the lovely sandstone amphitheatre formed by the Union Buildings in Pretoria.
jeff102.pdf,"For decades this had been the seat of white supremacy, and now it was the site of a rainbow gathering of different colours and nations for the installation of South Africa’s first democratic, non-racial government."
jeff102.pdf,On that lovely autumn day I was accompanied by my daughter Zenani.
jeff102.pdf,"On the podium, Mr de Klerk was first sworn in as second deputy president."
jeff102.pdf,"Then(to be) besieged by to be surrounded closely by amphitheatre a building without a roof, with many rows of seats rising in steps (typical of ancient Greece and Rome)A BActivity In Column A are some expressions you will find in the text."
jeff102.pdf,Make a guess and match each expression with an appropriate meaning from Column B.
jeff102.pdf,Reprint 2024-25 18First Flight Thabo Mbeki was sworn in as first deputy president.
jeff102.pdf,"When it was my turn, I pledged to obey and uphold the Constitution and to devote myself to the well- being of the Republic and its people."
jeff102.pdf,"To the assembled guests and the watching world, I said: Today, all of us do, by our presence here... confer glory and hope to newborn liberty."
jeff102.pdf,"Out of the experience of an extraordinary human disaster that lasted too long, must be born a society of which all humanity will be proud."
jeff102.pdf,"We, who wer e outlaws not so long ago, have today been given the rare privilege to be host to the nations of the world on our own soil."
jeff102.pdf,"W e thank all of our distinguished international guests for having come to take possession with the people of our country of what is, after all, a common victory for justice, for peace, for human dignity."
jeff102.pdf,"We have, at last, achieved our political emancipation."
jeff102.pdf,"We pledge ourselves to liberate all our people fr om the continuing bondage of poverty, deprivation, suffering, gender and other discrimination."
jeff102.pdf,"Never , never , and never again shall it be that this beautiful land will again experience the oppression of one by another ."
jeff102.pdf,The sun shall never set on so glorious a human achievement.
jeff102.pdf,Let freedom reign.
jeff102.pdf,God bless Africa!
jeff102.pdf,Oral Comprehension Check 1.Where did the ceremonies take place?
jeff102.pdf,Can you name any public buildings in India that are made of sandstone?
jeff102.pdf,"2.Can you say how 10 May is an ‘autumn day’ in South Africa?confer (a formal word) here, give We, who were outlaws because of its policy of apartheid, many countries had earlier broken off diplomatic relations with South Africa emancipation freedom from restriction deprivation state of not having one's rightful benefits discrimination being treated differently or unfavourably Reprint 2024-25 19 Nelson Mandela: Long W alk to Freedom3.At the beginning of his speech, Mandela mentions “an extraordinary human disaster”."
jeff102.pdf,What does he mean by this?
jeff102.pdf,What is the “glorious … human achievement” he speaks of at the end?
jeff102.pdf,4.What does Mandela thank the international leaders for?
jeff102.pdf,5.What ideals does he set out for the future of South Africa?
jeff102.pdf,"A few moments later we all lifted our eyes in awe as a spectacular array of South African jets, helicopters and troop carriers roared in perfect formation over the Union Buildings."
jeff102.pdf,"It was not only a display of pinpoint precision and military force, but a demonstration of the military’s loyalty to democracy, to a new government that had been freely and fairly elected."
jeff102.pdf,"Only moments before, the highest generals of the South African defence force and police, their chests bedecked with ribbons and medals from days gone by, saluted me and pledged their loyalty."
jeff102.pdf,I was not unmindful of the fact that not so many years before they would not have saluted but arrested me.
jeff102.pdf,"Finally a chevron of Impala jets left a smoke trail of the black, red, green, blue and gold of the new South African flag."
jeff102.pdf,"The day was symbolised for me by the playing of our two national anthems, and the vision of whites singing ‘Nkosi Sikelel –iAfrika’ and blacks singing ‘Die Stem’, the old anthem of the Republic."
jeff102.pdf,"Although that day neither group knew the lyrics of the anthem they once despised, they would soon know the words by heart."
jeff102.pdf,"On the day of the inauguration, I was overwhelmed with a sense of history."
jeff102.pdf,"In the first decade of the twentieth century, a few years after the bitter Anglo-Boer war and before my own birth, the white-skinned peoples of South Africa patched up their differences and erected a system of racial domination against the dark-skinned peoples of their own land."
jeff102.pdf,"The structure they created formed the basis of one of the harshest, most inhumane, societies the world has ever known."
jeff102.pdf,"Now, in the last decade of the twentieth century, and my own eighth decade as a man, that system had beennot unmindful of conscious of; aware of chevron a pattern in the shape of a V despised had a very low opinion ofspectacular array an impressive display (colourful and attractive) Reprint 2024-25 20First Flight wrought (old fashioned, formal word) done, achieved profound deep and strong *These are some prominent names in the struggle against apartheid."
jeff102.pdf,"(For the use of the definite article with proper nouns, see ex ercise II on page 25 )Yusuf Dadoo Bram FischerChief Luthuli Oliver Tambo Walter Sisulu Robert Sobukweoverturned forever and replaced by one that recognised the rights and freedoms of all peoples, regardless of the colour of their skin."
jeff102.pdf,"That day had come about through the unimaginable sacrifices of thousands of my people, people whose suffering and courage can never be counted or repaid."
jeff102.pdf,"I felt that day, as I have on so many other days, that I was simply the sum of all those African patriots who had gone before me."
jeff102.pdf,That long and noble line ended and now began again with me.
jeff102.pdf,I was pained that I was not able to thank them and that they were not able to see what their sacrifices had wrought.
jeff102.pdf,The policy of apartheid created a deep and lasting wound in my country and my people.
jeff102.pdf,"All of us will spend many years, if not generations, recovering from that profound hurt."
jeff102.pdf,"But the decades of oppression and brutality had another , unintended, effect, and that was that it produced the Oliver Tambos, the W alter Sisulus, the Chief Luthulis, the Yusuf Dadoos, the Bram Fischers, the Robert Sobukwes of our time* — men of such extraordinary Reprint 2024-25 21 Nelson Mandela: Long W alk to Freedomcourage, wisdom and generosity that their like may never be known again."
jeff102.pdf,Perhaps it requires such depths of oppression to create such heights of character .
jeff102.pdf,"My country is rich in the minerals and gems that lie beneath its soil, but I have always known that its greatest wealth is its people, finer and truer than the purest diamonds."
jeff102.pdf,It is from these comrades in the struggle that I learned the meaning of courage.
jeff102.pdf,"T ime and again, I have seen men and women risk and give their lives for an idea."
jeff102.pdf,"I have seen men stand up to attacks and torture without breaking, showing a strength and resilience that defies the imagination."
jeff102.pdf,"I learned that courage was not the absence of fear , but the triumph over it."
jeff102.pdf,"The brave man is not he who does not feel afraid, but he who conquers that fear ."
jeff102.pdf,"No one is born hating another person because of the colour of his skin, or his background, or his religion."
jeff102.pdf,"People must learn to hate, and if they can learn to hate, they can be taught to love, for love comes more naturally to the human heart than its opposite."
jeff102.pdf,"Even in the grimmest times in prison, when my comrades and I were pushed to our limits , I would see a glimmer of humanity in one of the guards, perhaps just for a second, but it was enough to reassure me and keep me going."
jeff102.pdf,Man’s goodness is a flame that can be hidden but never extinguished.
jeff102.pdf,Oral Comprehension Check 1.What do the military generals do?
jeff102.pdf,"How has their attitude changed, and why?"
jeff102.pdf,2.Why were two national anthems sung?
jeff102.pdf,"3.How does Mandela describe the systems of government in his country (i) in the first decade, and (ii) in the final decade, of the twentieth century?"
jeff102.pdf,4.What does courage mean to Mandela?
jeff102.pdf,"5.Which does he think is natural, to love or to hate?"
jeff102.pdf,"In life, every man has twin obligations — obligations to his family, to his parents, to his wife and children; and he has an obligation to his people, his community, his country."
