rid,origin,application,name,rating,date,review,sentiment-score,sentiment,key phrases,entities
19,Google Play Store,African Bank,Bruce Maphumulo,5,29/07/2020 00:00:00,"Hi. I had forgotten my login Details and one of their friendly consultant assisted me and my issue was resolved efficiently. Thank you,now I can login into my profile. Regards. BX MAPHUMULO",0.912225365638733,Postive,"profile,BX MAPHUMULO,issue,friendly consultant,login Details,",NULL
20,Google Play Store,African Bank,dudu matlhwane,4,29/07/2020 00:00:00,"It's super cool,I love this app, keep up the good work.i recommend people to use it, it's reliable,fast and convenient.",0.998977065086365,Postive,"good work,people,app,",NULL
21,Google Play Store,African Bank,willem sello maseko,1,29/07/2019 00:00:00,"Very useless, can't even log into it, am trying to reset a profile I didt even create, very frustrating ??",0.000000476837158203125,Negative,"profile,log,didt,",NULL
22,Google Play Store,African Bank,willem sello maseko,1,29/07/2019 00:00:00,"Very useless, can't even log into it, am trying to reset a profile I didt even create, very frustrating ??",0.000000476837158203125,Negative,"profile,log,didt,",NULL
23,Google Play Store,African Bank,Bongi khumza Faith,1,29/05/2021 00:00:00,"It's just useless because I have got a fixed account with you and u send me smses but when I put my mobile there it says my number is not recognisable, how??? Wanted to register so that I monitor my account on the app but??",0.000467211008071899,Negative,"app,smses,mobile,number,fixed account,",NULL
24,Google Play Store,African Bank,Bongi khumza Faith,1,29/05/2021 00:00:00,"It's just useless because I have got a fixed account with you and u send me smses but when I put my mobile there it says my number is not recognisable, how??? Wanted to register so that I monitor my account on the app but??",0.000467211008071899,Negative,"app,smses,mobile,number,fixed account,",NULL
25,Google Play Store,African Bank,Faith Divine,1,29/04/2021 00:00:00,I recently opened an account and downloaded the app but I am unable to login it keeps refusing. Disappointed.,0.0000413954257965088,Negative,"account,login,app,",NULL
26,Google Play Store,African Bank,holly khumalo,1,29/04/2020 00:00:00,i cant login and it been two months now..... i deleted app and dowloaded it again ...but still i cant login,0.127358049154282,Negative,"app,months,login,",NULL
27,Google Play Store,African Bank,Dumisani Khumalo,1,29/04/2019 00:00:00,"For the few days, the app does not allow me to login. Its frustrating and you can't call to speak to a consultant during after hours.",0.000110983848571777,Negative,"login,days,hours,consultant,app,",NULL
32,Google Play Store,African Bank,Alwyn Styger,5,28/11/2021 00:00:00,"Easy as pie , makes life so much better.",0.987570822238922,Postive,"life,pie,",NULL
34,Google Play Store,African Bank,NICHOLAS CRISP,2,28/10/2021 00:00:00,The app takes to long to log in,0.080915778875351,Negative,"app,",NULL
35,Google Play Store,African Bank,Motselisi Ralitau,1,28/10/2020 00:00:00,"Cant login ever since i downloaded it,it keeps saying try again later??",0.0000276267528533936,Negative,"login,",NULL
28,Google Play Store,African Bank,Vusi Mabena,1,28/12/2021 00:00:00,Login problems. This app does not have optional options whereby it assist you if you forgot your login credentials. Remember we have morethan 1 apps that requires login details and all are different.,0.000246584415435791,Negative,"optional options,apps,morethan,login credentials,Login problems,login details,",NULL
29,Google Play Store,African Bank,eleanor jacobs,1,28/12/2021 00:00:00,"I haven't been able to open the app because it requires various permissions to which I don't understand reason for. I have a savings account and don't want any other products at this stage nor need to upload documents. Why do need access to my camera, photos and calls at this stage?",0.00131696462631226,Negative,"documents,reason,savings account,products,camera,access,various permissions,photos,app,stage,",NULL
30,Google Play Store,African Bank,Hlobisile Khuzwayo,1,28/12/2021 00:00:00,"The app just doesn't work, I have uninstalled n reinstalled. Went to the branch they helped me bt still few days down the line it doesn't log in.....total frustration",0.00259047746658325,Negative,"app,branch,total frustration,uninstalled n,line,days,bt,",NULL
33,Google Play Store,African Bank,Kaneesha De Kock,1,28/11/2020 00:00:00,"I haven't had access to the app since I've opened an account and downloaded the app. It keeps saying that it ""can't satisfy my request"". It's been extremely difficult to manage my finances. I recommend African Bank fixes this problem as soon as possible because we are not happy.",0.000088036060333252,Negative,"request,account,access,finances,African Bank,app,problem,",NULL
36,Google Play Store,African Bank,Motselisi Ralitau,1,28/10/2020 00:00:00,"Cant login ever since i downloaded it,it keeps saying try again later??",0.0000276267528533936,Negative,"login,",NULL
37,Google Play Store,African Bank,Jackson Mahoro,5,28/10/2019 00:00:00,Most reliable. I'm now able to do all transactions in comfort of my home. I can transfer funds to other banks without any Challenges.,0.902134895324707,Postive,"home,Challenges,banks,funds,comfort,transactions,",NULL
38,Google Play Store,African Bank,Philiswa Philiswa,1,28/09/2021 00:00:00,I can't log in on my app it tells me that we cannot process your request at the moment please try again later.,0.00249320268630981,Negative,"app,moment,request,",NULL
39,Google Play Store,African Bank,charlotte thotse,2,28/09/2021 00:00:00,This app is frustrating everytime you log in it gives an error.,0.00297391414642334,Negative,"error,frustrating everytime,app,",NULL
40,Google Play Store,African Bank,mhpo maake,3,28/09/2021 00:00:00,Problem login for a long time keep on say,0.103999704122543,Negative,"long time,Problem login,",NULL
41,Google Play Store,African Bank,Galaxy S20,1,28/09/2021 00:00:00,Samsung Galaxy S20 android 10....this app is not working...after you log in the app keeps on closing immediately...for how long are you NOT going to fix this problem... I've been a client since you (african bank) started and I've never been in arrears and now for a long time your does not want to stay logged in..I really need to transfer funds,0.00003090500831604,Negative,"funds,problem,arrears,african bank,client,Samsung Galaxy S20 android,long time,app,",NULL
140,Google Play Store,African Bank,IGNATIUS MABAPA,4,26/02/2021 00:00:00,Good and very easy to access,0.944644570350647,Postive,,NULL
142,Google Play Store,African Bank,Paul Spies,1,26/01/2019 00:00:00,I cant login in. I get an error everytime i open the app,0.0430005788803101,Negative,"login,app,error everytime i,",NULL
307,Google Play Store,African Bank,Mothusi Maje,5,29/11/2021 00:00:00,The credit report feature is brilliant.,0.928061723709106,Postive,"credit report feature,",NULL
308,Google Play Store,African Bank,Caleb Shanglee,1,28/11/2021 00:00:00,I can't login at all after updating.,0.207495629787445,Negative,"login,",NULL
42,Google Play Store,African Bank,Patricia Sibanda,1,28/09/2021 00:00:00,(We cannot process your request at present please try again later) I get this error!,0.0689850747585297,Negative,"error,present,request,",NULL
43,Google Play Store,African Bank,Ronita Van Heerden,1,28/09/2021 00:00:00,"Not one good review. I usually check the reviews to assist me with deciding whether or not I have to download an app According to the below, definitely not worth my data...",0.22938871383667,Negative,"data,app,reviews,good review,",NULL
44,Google Play Store,African Bank,thamsanqa nhone,1,28/09/2021 00:00:00,I am using huwau p30 light since I downloaded the from 30/04/20 it keeps on saying we are apologize at moment we can satisfy your requests I not happy at all I have to call the bank from time to time to log into my internet banking,0.060916393995285,Negative,"moment,internet banking,huwau p30 light,requests,time,",NULL
45,Google Play Store,African Bank,Mahlatse Kgoete,1,28/09/2021 00:00:00,"I cannot even login using this app, everytime i try to login i get this message ""warning we cannot process your request at present please try again later"" i deleted the app and downloaded it again but still the same thing",0.00000351667404174805,Negative,"thing,request,message,present,app,everytime i,login i,",NULL
46,Google Play Store,African Bank,theo chetty,1,28/09/2021 00:00:00,"""We apologise but we cannot process your request at the moment"". I am uninstalling this app. Its completely useless. Have been trying to log in for over 6 months now same message. So glad im almost done with paying of my cresit card coa i really dont wana deal with african bank again.",0.0115247666835785,Negative,"glad im,message,months,moment,request,african bank,cresit card coa,dont wana deal,",NULL
47,Google Play Store,African Bank,Chris Therapist,5,28/09/2020 00:00:00,Opened new account and can not even download the app. Dissapointment from the start.,0.5,Postive,"start,Dissapointment,new account,",NULL
48,Google Play Store,African Bank,Sheri Saldulkar,1,28/09/2020 00:00:00,Using a Samsung S9+ and unable to download this app. Able to download other apps though.,0.0512329339981079,Negative,"apps,Samsung S9,",NULL
49,Google Play Store,African Bank,Nella Kiva,5,28/08/2021 00:00:00,Very nice and easy to use. Love that I get to see my bureau details in it. Love that I can buy airtime from as little as R2. I love that I can simply scroll through my contacts on my fone to buy airtime without logging off. Thank you for the convenience,0.999968409538269,Postive,"convenience,bureau details,fone,contacts,R2,airtime,Love,",NULL
50,Google Play Store,African Bank,Walter Charakupa,1,28/07/2021 00:00:00,"App doesnt work, cant do instant transfers. Funds keep on being reversed and inbox messeges keep on showing as unread even you have read it and show a delete error when i try to delete it. Very poor app development for a bank",0.000409841537475586,Negative,"Funds,inbox messeges,bank,instant transfers,poor app development,delete error,App doesnt work,",NULL
51,Google Play Store,African Bank,Julius Nkosi,1,28/07/2021 00:00:00,"The App just stopped working and it needs me to reenter my login credentials. For some reasons, I can't remember everything. There is no 'Forgot Password' section to reset password.",0.000183075666427612,Negative,"reasons,App,login credentials,section,Password,",NULL
58,Google Play Store,African Bank,Clive Muscutt Muscutt,5,28/03/2020 00:00:00,Very accurate and always up to date.A pleasure to use.,0.881126403808594,Postive,"pleasure,date,",NULL
60,Google Play Store,African Bank,Vuyisa Nombembe,1,28/03/2020 00:00:00,This app is stressful its always MIA whenever you need it its annoying,0.0025615394115448,Negative,"app,MIA,",NULL
62,Google Play Store,African Bank,Ronnie Bekker,1,28/03/2020 00:00:00,Stupid App when you try to log in it kicks you out,0.0261492133140564,Negative,"Stupid App,",NULL
52,Google Play Store,African Bank,Preacher Fakude,1,28/07/2019 00:00:00,"Dont deserve any Star, I had to put one so I post this. I'm just waiting for my pay day then immediately I go back to my old Bank. Poor stupid Bank.",0.0737687945365906,Negative,"pay day,Star,Dont,Poor stupid Bank,old Bank,",NULL
53,Google Play Store,African Bank,xolisa sakati,2,28/06/2020 00:00:00,It never worked it kept giving me an error message when I tried to loggin now I even forgot my pin n password and the App has no forgot pin and password option. Please fix that,0.000656753778457642,Negative,"error message,App,password option,pin n password,",NULL
54,Google Play Store,African Bank,Simo Blessing Nyamakazi,1,28/06/2019 00:00:00,"""We apologize but at the moment it is not possible to satisfy your request."" That's is all your new updated app does. Have y'all check or you know, you just don't care..?",0.990955471992493,Postive,"request,moment,yall check,new updated app,",NULL
55,Google Play Store,African Bank,sikhumbuzo christopher Khanyile,3,28/05/2021 00:00:00,Tried many times to login but I can't get through. There s always an era.,0.0188729763031006,Negative,"era,login,times,",NULL
56,Google Play Store,African Bank,Queen Maluleke,1,28/04/2021 00:00:00,"I can't make any transactions, it just gives an error message saying ""can't satisfy your request at the moment"" it's been well over a month now. Disappointed.",0.0000912845134735108,Negative,"month,moment,transactions,error message,request,",NULL
57,Google Play Store,African Bank,Bugsyboy3 Stig,1,28/04/2021 00:00:00,Useless app can't even register for cell phone bank always a error USELESS,0.0222723484039307,Negative,"cell phone bank,Useless app,error USELESS,",NULL
59,Google Play Store,African Bank,Christien van Zyl,1,28/03/2020 00:00:00,"I cannot do eft to my beneficiaries it tells me that the account is not valid, yet I can pay from others banks. I am using the latest version of the app.",0.0105243325233459,Negative,"banks,eft,latest version,account,beneficiaries,",NULL
61,Google Play Store,African Bank,Stephen Maduveko,3,28/03/2020 00:00:00,The app keeps failing and reversing immediate payments. The R10 charge and amount are always reversed.,0.0290777385234833,Negative,"R10 charge,immediate payments,app,",NULL
63,Google Play Store,African Bank,amukelani zakes,1,28/02/2020 00:00:00,"I have been trying to login but it keeps on saying that technical error i need to visit the branch for further assistance, and i have been there they couldn't help me",0.00213667750358582,Negative,"login,assistance,branch,technical error i,",NULL
64,Google Play Store,African Bank,Bobby ROBINSON,1,28/02/2019 00:00:00,Every time I try and load a bank listed benificary I get the message can't satisfy your request ? It is fully updated the app but still the same problem,0.0648263692855835,Negative,"request,time,problem,app,benificary,message,bank,",NULL
65,Google Play Store,African Bank,Gloria Masumu,2,28/02/2018 00:00:00,Have been using the app for months without anny error but suddenly I can't access any cell phone banking because of errors,0.000198543071746826,Negative,"anny error,months,app,errors,cell phone banking,",NULL
66,Google Play Store,African Bank,Constance Pitso,5,28/01/2018 00:00:00,Excellent quick & easy & helpful in skipping the long queue.,0.140080869197845,Negative,"long queue,",NULL
90,Google Play Store,African Bank,Clement Dankuru,2,27/10/2021 00:00:00,"I can't login, it was working fine until the recent updates.",0.0780265033245087,Negative,"login,recent updates,",NULL
92,Google Play Store,African Bank,tirelo sello,1,27/10/2021 00:00:00,Unable to login and there is no 'forgot password' option. Totally useless!,0.00765743851661682,Negative,"option,password,login,",NULL
138,Google Play Store,African Bank,Jackie Makola,5,26/03/2021 00:00:00,It is simple and understandable everything is clear,0.965255856513977,Postive,,NULL
67,Google Play Store,African Bank,ntokozo mabuza,1,27/12/2021 00:00:00,"I can't download the app, I need to do transfers & before I deleted it, it kept saying I've entered a wrong pin which is incorrect",0.000000417232513427734,Negative,"transfers,app,wrong pin,",NULL
68,Google Play Store,African Bank,Sesi Sbongile,3,27/12/2019 00:00:00,"My app can't log in with my Details I don't know why , my network is fine",0.0417593419551849,Negative,"network,Details,app,",NULL
69,Google Play Store,African Bank,Angel Khumalo,1,27/11/2021 00:00:00,"I have a problem with the app it keeps telling me ""we can't process your request at present please try again later""",0.0199449360370636,Negative,"present,request,app,problem,",NULL
70,Google Play Store,African Bank,Bantobetse Godfrey,1,27/11/2021 00:00:00,"This app isn,t working , always it says we can,t satisfy your request, what a bad experience .",0.00470906496047974,Negative,"app isn,bad experience,request,",NULL
71,Google Play Store,African Bank,Linda Khoza,3,27/11/2021 00:00:00,"Convenient App, but sometimes doesn't want to do transactions... Please guys improve that, otherwise it's a wonderful bank",0.910839676856995,Postive,"wonderful bank,guys,transactions,Convenient App,",NULL
72,Google Play Store,African Bank,Geneva Khumalo,2,27/11/2021 00:00:00,The app always requires an update but when I try to update it just keep loading ?????,0.0284703373908997,Negative,"app,loading,update,",NULL
73,Google Play Store,African Bank,Angel Nthebe,1,27/11/2021 00:00:00,Its say enter correct data and all that the old app was better,0.874281406402588,Postive,"say,old app,correct data,",NULL
74,Google Play Store,African Bank,Geneva Khumalo,2,27/11/2021 00:00:00,The app always requires an update but when I try to update it just keep loading ?????,0.0284703373908997,Negative,"app,loading,update,",NULL
75,Google Play Store,African Bank,nazeem benjamin,5,27/11/2021 00:00:00,The app has been good to me i lost my one card but with the app i cold of move my money to my other card,0.00095406174659729,Negative,"money,app i cold,card,",NULL
76,Google Play Store,African Bank,Gina Zulu,1,27/11/2020 00:00:00,Your app is terrible cant do transfer keeps saying error....,0.00141063332557678,Negative,"error,app,",NULL
77,Google Play Store,African Bank,Nomalanga Winnie,1,27/10/2021 00:00:00,Can't download the app. It's keep on downloading from this morning till now and I was using both wifi and my normal data but still not working,0.0047641396522522,Negative,"morning,normal data,wifi,",NULL
78,Google Play Store,African Bank,Macdonald Molokomme,1,27/10/2021 00:00:00,"The app wants an update, i did update and while downloading it reaches 100% and started again. 3x nows, how about my data?",0.244154810905457,Negative,"app,data,x nows,update,",NULL
79,Google Play Store,African Bank,Maru Angellah,1,27/10/2021 00:00:00,"Everything about this app is annoying, firstly I can't log in and then I can't even check my balance. Like what do you call that",0.000165551900863647,Negative,"balance,app,",NULL
80,Google Play Store,African Bank,Patricia Kheswa,1,27/10/2021 00:00:00,Before lockdown i deposited money in wyneburg capetown and the money was crushed by the machine 2days before lockdown till today they didn't refund back my money and i have been calling then they never called me back but when i go there they tell me the machine is not yet fixed this is the 7th month and u call that a bank sad,0.00520038604736328,Negative,"days,month,bank sad,wyneburg capetown,machine,lockdown i,money,",NULL
83,Google Play Store,African Bank,Cholani Somayise,5,27/10/2021 00:00:00,Excellent but it need to have a proof of payment option in it,0.91523015499115,Postive,"proof of payment option,",NULL
87,Google Play Store,African Bank,Wendy Leite,1,27/10/2021 00:00:00,My phone keep on saying try again later error message,0.105737090110779,Negative,"phone,later error message,",NULL
81,Google Play Store,African Bank,Sthelo Sigwela,1,27/10/2021 00:00:00,This app is very probamatic when it cimes to netwrk and logging -in..and the worse part about it is that it takes a huge space in the phone i mean why should it take 80MB wjole some banking apps on takes 7.1mb,0.00102806091308594,Negative,"netwrk,phone i,huge space,probamatic,logging -,banking apps,cimes,MB wjole,",NULL
82,Google Play Store,African Bank,Agnes Lebona,1,27/10/2021 00:00:00,"Am forever struggling to open my app ive updated my app, need money ans am unable to axcess it its frustrating its app its not user friendly",0.0000724196434020996,Negative,"user friendly,money ans,app ive,",NULL
84,Google Play Store,African Bank,Thabani Terrence,3,27/10/2021 00:00:00,"The app is not working to my P40 Pro it's saying apdate, when i update it shows that I've the app installed. It was working nicely on my P20 lite but to the new phone i don't know why.",0.0234488844871521,Negative,"apdate,P40 Pro,P20 lite,new phone i,app,",NULL
85,Google Play Store,African Bank,samantha-ann pillay,1,27/10/2021 00:00:00,I can't recover password or pin ...it does. It give an option to recover either or !,0.107204258441925,Negative,"option,pin,password,",NULL
86,Google Play Store,African Bank,Krypton West,2,27/10/2021 00:00:00,"I can't log in the app, it keeps saying I've entered incorrect data whilst I've entered it correctly",0.000065147876739502,Negative,"app,incorrect data,",NULL
88,Google Play Store,African Bank,Sifundo Sibiya,5,27/10/2021 00:00:00,"This app made banking much easier, I can bank anytime anywhere. I rate 5/5 although it does not run on 2G network.",0.23122850060463,Negative,"G network,banking,app,",NULL
89,Google Play Store,African Bank,mpho samuel,1,27/10/2021 00:00:00,"Once u forgot ur password and pin its impossible to logging into the app, recommend that they have an option for users whom forgot their pin or password.",0.00242319703102112,Negative,"app,option,users,ur password,pin,",NULL
91,Google Play Store,African Bank,Precious Zakwe,1,27/10/2021 00:00:00,I see that I am not the only one that's having issues with logging in as it states that I am providing incorrect data however I have resetted my pin already! Why can't the call centre assist in resetting my profile? Why do I need to go to the branch? Standing in a que for something this simple! Come on!,0.031266838312149,Negative,"branch,pin,que,logging,issues,incorrect data,profile,centre assist,",NULL
93,Google Play Store,African Bank,Thandeka Vilakazi,1,27/10/2021 00:00:00,I can't download the app it keeps redownloading itself over and over again...,0.000281333923339844,Negative,"redownloading,app,",NULL
94,Google Play Store,African Bank,Mbongeni Mtolo,2,27/10/2021 00:00:00,"App is too big,82mb ?? , common guys u can do better than this.reduce it to less than 10mb at least just like other banks.",0.0640263855457306,Negative,"banks,App,common guys u,mb,",NULL
95,Google Play Store,African Bank,Mbongeni Mtolo,2,27/10/2020 00:00:00,"App is too big,82mb ?? , common guys u can do better than this.reduce it to less than 10mb at least just like other banks.",0.0640263855457306,Negative,"banks,App,common guys u,mb,",NULL
96,Google Play Store,African Bank,reagan petersen,4,27/09/2021 00:00:00,"After a few attempts, I've found that the app works perfectly well, the app is slow however and it times you out, maybe look into that, I will say that it lags behind with time however I have found it to be a user friendly and safe banking portal.",0.824515700340271,Postive,"attempts,times,user friendly,safe banking portal,app,",NULL
389,Google Play Store,African Bank,Tshepo Seliba,5,05/10/2021 00:00:00,"It's easy to use, clear and concise",0.971815228462219,Postive,,NULL
390,Google Play Store,African Bank,Olphie Maselesele,1,04/10/2021 00:00:00,Terrible I can't login and I have installed and 're installed it like ten times already????,0,Negative,"times,login,",NULL
97,Google Play Store,African Bank,Boitumelo Rejoyce,1,27/09/2021 00:00:00,What's the point of this app if I can't use it. I have to update it all the time. Like I have data for it. It won't even upload. Urg useless.,0.000430077314376831,Negative,"upload,data,time,Urg useless,app,point,",NULL
98,Google Play Store,African Bank,Mosele Sehloho,4,27/09/2019 00:00:00,I find it very helpful as I don't struggle with most of it's services. But I have been trying to make a payment and struggle to create a beneficiary.,0.927740693092346,Postive,"services,beneficiary,payment,struggle,",NULL
99,Google Play Store,African Bank,Durban Brooklyn,2,27/09/2019 00:00:00,"I gave 2 stars cos thats all i can give based on... I've been using the app since July and its been perfectly fine, and user friendly, until today. Im in America since July with no issues until today i couldnt log in... So i uninstalled the app and reinstalled, still can't log in... 'incorrect credentials', im afraid ive been locked out and i dont have my SA cell number to get my OTP to recover my login . I went to the website, i can view my information using my ID number.",0,Negative,"login,website,America,issues,user friendly,stars cos thats,information,dont,OTP,im afraid ive,SA cell number,ID number,app,",NULL
100,Google Play Store,African Bank,Eugenia Mafoko,1,27/09/2014 00:00:00,"As a client,I dont understand why should I fail to register and i got a message saying my contact details are incorrect yet I receive texts from the bank all the time",0.00186952948570251,Negative,"dont,client,time,bank,message,contact details,texts,",NULL
101,Google Play Store,African Bank,Joshua Kisakye,1,27/08/2021 00:00:00,"Am unsatisfied, everytime I tap on ""pay"" it says error that I should approach the help desk for help.... really!!!!!!!??????????????????????????",0.0387634038925171,Negative,"error,everytime,help desk,",NULL
102,Google Play Store,African Bank,Joshua Kisakye,1,27/08/2021 00:00:00,"Am unsatisfied, everytime I tap on ""pay"" it says error that I should approach the help desk for help.... really!!!!!!!??????????????????????????",0.0387634038925171,Negative,"error,everytime,help desk,",NULL
103,Google Play Store,African Bank,Johannes Matlaisane,1,27/08/2021 00:00:00,App says it's installed on my phone but it's not.. It was installed in my old phone. Not this one! Why must I do? I have no option to uninstall - as it's not installed.,0.0490471720695496,Negative,"option,App,old phone,",NULL
104,Google Play Store,African Bank,Kelly,1,27/08/2021 00:00:00,"Can't log in says ""warning we cannot process your request at present please try again later"". Tried a few times. Still an issue",0.00132268667221069,Negative,"issue,times,present,request,",NULL
105,Google Play Store,African Bank,Esther Disthebo,1,27/08/2021 00:00:00,The tellers are friendly and helpful. It really assisted me,0.86285662651062,Postive,"tellers,",NULL
106,Google Play Store,African Bank,Nicolette Du Preez,1,27/08/2021 00:00:00,Disappointed after 2 minutes after registered i could not log in keep giving an error message saying my details incorrect,0.00525373220443726,Negative,"minutes,details incorrect,error message,",NULL
107,Google Play Store,African Bank,Makobo Sheron,5,27/08/2020 00:00:00,"It works perfectly fine. You can login without mobile data...I love it, it's a great app.",0.991955518722534,Postive,"mobile data,login,",NULL
110,Google Play Store,African Bank,Valentino Du Plessis,3,27/07/2019 00:00:00,"I'm unable to purchase airtime, it keeps so not available",0.00379207730293274,Negative,"airtime,",NULL
113,Google Play Store,African Bank,Garth J,2,27/06/2019 00:00:00,Cannot do a lost username/password recovery,0.112019926309586,Negative,"password recovery,lost username,",NULL
116,Google Play Store,African Bank,deathly deeds,1,27/05/2019 00:00:00,I can't load into my account and then when I do it kicks me out,0.0150598883628845,Negative,"account,",NULL
108,Google Play Store,African Bank,Kedibone Thobela,1,27/08/2018 00:00:00,"I dont have 5 months using african bank but ive had the worst experience ever.end of october i made instant payment using the app,the money was deducted from my account but was not received on the other side and the branches cant help me till today,just to do a reverse??? Today i bought electricity at 9AM using the same app,even now i havent received the sms with my voucher to pin into my prepaid box but money was deducted.im very disappointed i would not even recommend African bank to anyone",0.000309407711029053,Negative,"electricity,reverse,branches,account,sms,dont,havent,prepaid box,instant payment,months,voucher,worst experience,ive,money,african bank,disappointed i,",NULL
109,Google Play Store,African Bank,Yolisa Motaung,1,27/07/2019 00:00:00,I can't login to my account because it won't make a space for my username. Now it says my information is incorrect. This is really an inconvenience especially for people who don't like using internet banking.,0.113314688205719,Negative,"inconvenience,username,login,information,internet banking,space,account,people,",NULL
111,Google Play Store,African Bank,Tryphina Maruma,3,27/07/2019 00:00:00,Hi applied for loan a loan and i submitted all my documents the past days evev now i didn't get any feed back.They keep on sending me message saying i must log in to complete my applications,0.00228062272071838,Negative,"applications,message,feed,past days evev,documents,loan,",NULL
112,Google Play Store,African Bank,Maurice Bant,1,27/06/2019 00:00:00,"06 December 2020, after your recent update your app needs username, pin and password to log in everytime, very troublesome, what about the fingerprint login option? It doesn't want to log in with my username, pin and password, it keeps saying ""error"". This is why I never want to update any app.",0.0000659525394439697,Negative,"error,fingerprint login option,everytime,recent update,app needs username,pin,password,",NULL
114,Google Play Store,African Bank,Mmatsie Malepe,1,27/06/2019 00:00:00,I used this app maybe for a week and then after that I couldn't login anymore. I'm super disappointed and if I could rate it zero and definitely would.,0.0822719037532806,Negative,"login,week,app,",NULL
115,Google Play Store,African Bank,Catherine Sewpershad,1,27/05/2020 00:00:00,"After the recent update on 06/12/2020, the field to enter username does not work correctly. I am unable to insert a space on the username and there is no option online to reset the username",0.00121855735778809,Negative,"field,recent update,option,space,username,",NULL
